DATE,PCPI48113
1969-01-01,4445
1970-01-01,4670
1971-01-01,4928
1972-01-01,5428
1973-01-01,5956
1974-01-01,6557
1975-01-01,7066
1976-01-01,7607
1977-01-01,8363
1978-01-01,9554
1979-01-01,10766
1980-01-01,12032
1981-01-01,13475
1982-01-01,14605
1983-01-01,15689
1984-01-01,17376
1985-01-01,18612
1986-01-01,19037
1987-01-01,19303
1988-01-01,20184
1989-01-01,21155
1990-01-01,22102
1991-01-01,22043
1992-01-01,23128
1993-01-01,23976
1994-01-01,25096
1995-01-01,26216
1996-01-01,27926
1997-01-01,29633
1998-01-01,31826
1999-01-01,32422
2000-01-01,35464
2001-01-01,35743
2002-01-01,35570
2003-01-01,35710
2004-01-01,36088
2005-01-01,38153
2006-01-01,41118
2007-01-01,42468
2008-01-01,44706
2009-01-01,39427
2010-01-01,41142
2011-01-01,47923
2012-01-01,48437
2013-01-01,48989
2014-01-01,51636
2015-01-01,52028
2016-01-01,53260
2017-01-01,56297
2018-01-01,60700
2019-01-01,63843
2020-01-01,66044
2021-01-01,72668
2022-01-01,75585
